time,ATV-A134-Qf-m3_h
00:00:00,0.57
00:02:00,0.3
00:04:00,0.2
00:06:00,0.4
00:08:00,1.15
00:10:00,1.7
00:12:00,1.6
00:14:00,1.4
00:16:00,1.2
00:18:00,1.22
00:20:00,1.4
00:22:00,0.9
